# APEX, Llano de Chajnantor, alt. 5100m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
            0.500    0.800    1.000    1.500    2.000 
 231.200    0.940    0.929    0.921    0.902    0.883 
 231.300    0.899    0.888    0.881    0.863    0.845 
 231.400    0.948    0.937    0.929    0.910    0.891 
 231.500    0.958    0.947    0.939    0.920    0.900 
 231.600    0.962    0.951    0.943    0.923    0.904 
 231.700    0.964    0.952    0.945    0.925    0.905 
 231.800    0.965    0.953    0.945    0.926    0.906 
 231.900    0.966    0.954    0.946    0.926    0.907 
 232.000    0.966    0.954    0.946    0.926    0.907 
 232.100    0.966    0.954    0.946    0.927    0.907 
 232.200    0.966    0.954    0.946    0.927    0.907 
 232.300    0.966    0.955    0.947    0.927    0.907 
 232.400    0.966    0.954    0.946    0.927    0.907 
 232.500    0.966    0.954    0.946    0.926    0.907 
 232.600    0.965    0.954    0.946    0.926    0.906 
 232.700    0.965    0.953    0.945    0.925    0.906 
 232.800    0.964    0.953    0.945    0.925    0.905 
 232.900    0.964    0.952    0.944    0.924    0.905 
 233.000    0.963    0.951    0.943    0.924    0.904 
 233.100    0.962    0.951    0.943    0.923    0.903 
 233.200    0.961    0.950    0.942    0.922    0.902 
 233.300    0.960    0.948    0.940    0.921    0.901 
 233.400    0.959    0.947    0.939    0.919    0.900 
 233.500    0.957    0.945    0.937    0.918    0.898 
 233.600    0.955    0.943    0.935    0.916    0.896 
 233.700    0.952    0.940    0.932    0.913    0.893 
 233.800    0.947    0.935    0.928    0.908    0.889 
 233.900    0.938    0.926    0.919    0.899    0.880 
 234.000    0.939    0.927    0.920    0.900    0.881 
 234.100    0.947    0.935    0.928    0.908    0.889 
 234.200    0.951    0.940    0.932    0.912    0.892 
 234.300    0.954    0.942    0.935    0.915    0.895 
 234.400    0.956    0.944    0.937    0.917    0.897 
 234.500    0.958    0.946    0.938    0.918    0.899 
 234.600    0.959    0.947    0.939    0.920    0.900 
 234.700    0.960    0.948    0.940    0.920    0.901 
 234.800    0.961    0.949    0.941    0.921    0.901 
 234.900    0.961    0.949    0.941    0.921    0.901 
 235.000    0.961    0.949    0.941    0.921    0.901 
 235.100    0.961    0.949    0.941    0.921    0.901 
 235.200    0.960    0.948    0.940    0.920    0.901 
 235.300    0.959    0.947    0.939    0.919    0.899 
 235.400    0.956    0.944    0.937    0.917    0.897 
 235.500    0.951    0.939    0.931    0.911    0.891 
 235.600    0.935    0.923    0.916    0.896    0.877 
 235.700    0.852    0.842    0.835    0.817    0.799 
 235.800    0.931    0.919    0.912    0.892    0.873 
 235.900    0.951    0.939    0.931    0.911    0.891 
 236.000    0.958    0.946    0.938    0.918    0.898 
 236.100    0.961    0.949    0.941    0.921    0.901 
 236.200    0.963    0.951    0.943    0.923    0.902 
 236.300    0.964    0.952    0.943    0.923    0.903 
 236.400    0.964    0.952    0.944    0.924    0.903 
 236.500    0.964    0.952    0.944    0.923    0.903 
